Quantity,Designator,Comment,Description,Footprint,MountTechnology,Layer,NOTE Manufacturer PN,NOTE Manufacturer,NOTE Description,NOTE Description 2,CODE Develer,Mounting Technology

"1","BUZ1","BUZZER","","buzzer_14mm_thd","","Top","","","","","",""
"1","C100","10uF","Capacitor","0603_[1608]","","Top","","","","","",""
"8","C101, C102, C105, C106, C107, C112, C113, C114","100nF","Capacitor","0603_[1608]","","Top","","","","","",""
"1","C103","22nF","Capacitor","0603_[1608]","","Top","","","","","",""
"1","C104","1nF","Capacitor","0603_[1608]","","Top","","","","","",""
"2","C108, C109","47uF","Capacitor","[7343]_CAP_TAN_1P_2N","","Top","","","","","",""
"2","C110, C111","22pF","Capacitor","0603_[1608]","","Top","","","","","",""
"1","D100","AMBIENT LIGHT","Diode Led","R5_LED_THD_A2-K1","SMT","Top","","","","","",""
"1","D101","1N4448W","Diode, Rectifier, 0,5A, 30V min (MBR230LSFT1G; Rohm RB070MM-30TR; panjin SBA130ASR100001)","SOD-123_K1-A2","SMT","Top","","","","","D-S-0001",""
"1","D102","+5V","Diode Led","0603_[1608]_K1-A2_LED","SMT","Top","","","","","",""
"1","D103","+3.3V","Diode Led","0603_[1608]_K1-A2_LED","SMT","Top","","","","","",""
"1","JP100","PCB FM Antenna","Jumper SMD","0603_[1608]_JUMPER","SMT","Top","","","","","",""
"1","L100","270nH","ComponetDescritions (altrenative1; alternativ2)","0603_[1608]","SMT","Top","","","","","",""
"2","L101, L102","Ferrite 2,5kohm","BLM18BD252SN1D","0603_[1608]","SMT","Top","","","","","",""
"1","P2","BUZZER","Pin Header, 2pin, 2.54mm","HEADER_1X2_2.54MM_THD","","Top","","","","","",""
"1","P100","SENSOR","Header, 4-Pin","HEADER_1X4_2.54MM_THD","","Top","","","","","",""
"1","P101","POWER","Header, 3-Pin, Dual row","SOCKET_2x3_2.54mm_THD","","Top","","","","","",""
"1","P102","DATA","Header, 3-Pin, Dual row","SOCKET_2x3_2.54mm_THD","","Top","","","","","",""
"1","P103","ENCODER","Header, 3-Pin, Dual row","SOCKET_2x3_2.54mm_THD","","Top","","","","","",""
"4","P105, P106, P107, P108","Audio","Header, 4-Pin","HEADER_1X4_2.54MM_THD","","Top","","","","","",""
"1","Q1","BSS138","N-MOSFET 50V 0,22A","SOT-23","SMT","Top","","","","","",""
"2","Q100, Q101","BC817","Transistor BJT NPN","SOT-23","SMT","Top","","","","","",""
"24","R100, R101, R102, R103, R104, R105, R106, R108, R109, R110, R111, R112, R113, R114, R125, R126, R132, R133, R139, R140, R141, R142, R143, R144","33R","Resistor","0603_[1608]","SMT","Top","","","","","",""
"5","R107, R130, R135, R137, R138","1k","Resistor","0603_[1608]","SMT","Top","","","","","",""
"8","R115, R116, R117, R120, R121, R127, R128, R134","10k","Resistor","0603_[1608]","SMT","Top","","","","","",""
"3","R118, R119, R129","4k7","Resistor","0603_[1608]","SMT","Top","","","","","",""
"3","R122, R123, R124","330R","Resistor","0603_[1608]","SMT","Top","","","","","",""
"2","R131, R136","47k","Resistor","0603_[1608]","SMT","Top","","","","","",""
"1","S3","RESET","Double-Pole, Single-Throw Switch","TACTILE_SWITCH_6x6MM_THD","","Top","","","","","",""
"1","U100","Raspberry Pico Wifi","Raspberry PICO som module","RasberryPicoMod","SMT","Top","","","","","",""
"1","U101","Si470x","Full FM radio whit RDS","QFN-50P-20_PAD","SMT","Top","","","","","",""
"1","U102","DS18B20","Programmable Resolution 1-Wire Digital Thermometer","TO-92","SMT","Top","","","","","",""
"1","U103","Relay DPDT","Relay DPDT","RELAYS_DPST_THD_6x10_5.08mm","SMT","Top","","","","","",""
"1","Y100","32.768kHz","ComponentDescriptions (altrenative1; alternative2)","CRISTAL_R26_PAD","SMT","Top","","","","","",""
