Altium Designer Pick and Place Locations
C:\Users\asterix\Documents\github\nixi-clock\hardware\Assembly\nixie_clock_cpu\easyeda-pick-and-place-nixie_clock_cpu_R0.csv

========================================================================================================================
File Design Information:

Date:       16/05/26
Time:       23:41
Revision:   3b24540109dd8d9c76b9ee09bc40436280486604
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"Q101","46.7500mm","-1.7500mm","TopLayer","0"
"R131","-12.7498mm","0.0000mm","TopLayer","0"
"R130","-12.7498mm","1.5000mm","TopLayer","0"
"P100","30.0000mm","-35.5001mm","TopLayer","0"
"P103","52.5000mm","-38.7500mm","TopLayer","0"
"P101","-52.5000mm","-38.7500mm","TopLayer","0"
"U101","33.9750mm","-9.8040mm","TopLayer","0"
"R121","23.5003mm","-11.7500mm","TopLayer","0"
"R120","23.5002mm","-13.0000mm","TopLayer","0"
"R119","23.5002mm","-14.2500mm","TopLayer","0"
"R118","23.5002mm","-18.0000mm","TopLayer","0"
"P102","0.0000mm","-38.7500mm","TopLayer","0"
"L102","65.0002mm","-12.7500mm","TopLayer","0"
"L101","65.0002mm","-6.7500mm","TopLayer","0"
"C109","58.2500mm","-12.7500mm","TopLayer","0"
"C108","58.2500mm","-6.7500mm","TopLayer","0"
"U103","44.0000mm","-10.0000mm","TopLayer","180"
"R133","-30.7502mm","12.5000mm","TopLayer","180"
"R132","-30.7502mm","15.0000mm","TopLayer","180"
"R124","23.4998mm","-16.7500mm","TopLayer","180"
"R123","23.4998mm","-15.5000mm","TopLayer","180"
"R122","23.5000mm","-10.5000mm","TopLayer","180"
"L100","26.9998mm","-9.0000mm","TopLayer","180"
"C104","29.7498mm","-9.0000mm","TopLayer","180"
"J100","27.6998mm","-4.6940mm","TopLayer","180"
"R144","-59.2500mm","5.7498mm","TopLayer","270"
"R143","-57.7500mm","5.7498mm","TopLayer","270"
"P108","-18.6300mm","13.6900mm","TopLayer","270"
"P107","-23.7100mm","13.6900mm","TopLayer","270"
"R136","44.2500mm","-0.2502mm","TopLayer","270"
"R134","-2.5000mm","12.4798mm","TopLayer","270"
"R107","-4.0000mm","12.4798mm","TopLayer","270"
"P106","-26.2500mm","13.6900mm","TopLayer","270"
"P105","-21.1700mm","13.6900mm","TopLayer","270"
"D101","51.0000mm","-10.0000mm","TopLayer","270"
"D100","4.5000mm","12.2500mm","TopLayer","270"
"J103","69.7500mm","-12.7500mm","TopLayer","270"
"J101","69.7500mm","-2.7500mm","TopLayer","270"
"S3","-42.2500mm","8.0000mm","TopLayer","270"
"R126","28.7300mm","-40.0003mm","TopLayer","270"
"R125","15.0000mm","-40.0002mm","TopLayer","270"
"R129","-27.5000mm","-28.2000mm","TopLayer","270"
"Q100","-12.7500mm","-2.7500mm","TopLayer","270"
"Q1","-30.5000mm","-27.8453mm","TopLayer","270"
"C113","23.6698mm","-36.2503mm","TopLayer","270"
"C112","10.7500mm","-36.2502mm","TopLayer","270"
"BUZ1","0.0000mm","0.0000mm","TopLayer","270"
"Y100","30.6558mm","-16.3500mm","TopLayer","270"
"R113","-35.7500mm","-24.5002mm","TopLayer","270"
"J104","69.7500mm","-16.7500mm","TopLayer","270"
"J102","69.7500mm","-6.7500mm","TopLayer","270"
"R117","52.5000mm","-32.0002mm","TopLayer","270"
"R116","57.2500mm","-32.0002mm","TopLayer","270"
"R115","47.7500mm","-32.0002mm","TopLayer","270"
"R114","-51.2500mm","-24.2502mm","TopLayer","270"
"R112","46.2500mm","-32.0002mm","TopLayer","270"
"R110","55.7500mm","-32.0002mm","TopLayer","270"
"R111","-38.5000mm","-24.5002mm","TopLayer","270"
"R109","51.0000mm","-32.0002mm","TopLayer","270"
"R108","-43.5000mm","-24.2502mm","TopLayer","270"
"R106","-46.0000mm","-24.2502mm","TopLayer","270"
"R105","-33.2500mm","-24.5002mm","TopLayer","270"
"R104","-48.5000mm","-24.2502mm","TopLayer","270"
"R103","-36.0000mm","9.4998mm","TopLayer","270"
"R102","-36.0000mm","6.4998mm","TopLayer","270"
"R101","-56.2500mm","-24.2502mm","TopLayer","270"
"R100","-58.7500mm","-24.2502mm","TopLayer","270"
"C107","54.0000mm","-32.0002mm","TopLayer","270"
"C106","58.7500mm","-32.0002mm","TopLayer","270"
"C105","49.2500mm","-32.0002mm","TopLayer","270"
"R142","-61.2500mm","5.7502mm","TopLayer","90"
"R141","-62.7500mm","5.7502mm","TopLayer","90"
"R140","-64.2500mm","5.7502mm","TopLayer","90"
"R139","-65.7500mm","5.7502mm","TopLayer","90"
"R138","-41.9011mm","-38.4006mm","TopLayer","90"
"R137","-46.0000mm","-38.4998mm","TopLayer","90"
"D103","-40.5000mm","-38.4998mm","TopLayer","90"
"D102","-44.5000mm","-38.4998mm","TopLayer","90"
"R135","44.2500mm","-3.2498mm","TopLayer","90"
"J106","-62.0000mm","-35.0000mm","TopLayer","90"
"J105","-62.0000mm","-30.0000mm","TopLayer","90"
"JP100","27.7500mm","0.0727mm","TopLayer","90"
"U102","15.0000mm","-35.5000mm","TopLayer","90"
"R127","-33.5000mm","9.5002mm","TopLayer","90"
"C114","-34.7500mm","9.5002mm","TopLayer","90"
"R128","-33.2500mm","-27.4998mm","TopLayer","90"
"P2","-9.2500mm","-2.5000mm","TopLayer","90"
"C101","-68.2922mm","5.7403mm","TopLayer","90"
"C111","27.7500mm","-13.9998mm","TopLayer","90"
"C110","33.5000mm","-13.9998mm","TopLayer","90"
"C103","35.0000mm","-13.9998mm","TopLayer","90"
"C102","36.2500mm","-13.9998mm","TopLayer","90"
"U100","-47.3736mm","-9.0000mm","TopLayer","90"
"C100","-69.7500mm","5.7403mm","TopLayer","90"
