Altium Designer Pick and Place Locations
C:\Users\asterix\Documents\github\nixi-clock\hardware\Assembly\nixie_clock_cpu\pick-and-place-nixie_clock_cpu_R0.txt

========================================================================================================================
File Design Information:

Date:       16/05/26
Time:       23:41
Revision:   3b24540109dd8d9c76b9ee09bc40436280486604
Variant:    No variations
Units used: mm

Designator Comment               Layer    Footprint                   Center-X(mm) Center-Y(mm) Rotation Description                                                                                 
R144       33R                   TopLayer 0603_[1608]                 -59.2500     5.7498       270      Resistor                                                                                    
R143       33R                   TopLayer 0603_[1608]                 -57.7500     5.7498       270      Resistor                                                                                    
R142       33R                   TopLayer 0603_[1608]                 -61.2500     5.7502       90       Resistor                                                                                    
R141       33R                   TopLayer 0603_[1608]                 -62.7500     5.7502       90       Resistor                                                                                    
R140       33R                   TopLayer 0603_[1608]                 -64.2500     5.7502       90       Resistor                                                                                    
R139       33R                   TopLayer 0603_[1608]                 -65.7500     5.7502       90       Resistor                                                                                    
R138       1k                    TopLayer 0603_[1608]                 -41.9011     -38.4006     90       Resistor                                                                                    
R137       1k                    TopLayer 0603_[1608]                 -46.0000     -38.4998     90       Resistor                                                                                    
D103       +3.3V                 TopLayer 0603_[1608]_K1-A2_LED       -40.5000     -38.4998     90       "Diode Led"                                                                                 
D102       +5V                   TopLayer 0603_[1608]_K1-A2_LED       -44.5000     -38.4998     90       "Diode Led"                                                                                 
P108       Audio                 TopLayer HEADER_1X4_2.54MM_THD       -18.6300     13.6900      270      "Header, 4-Pin"                                                                             
P107       Audio                 TopLayer HEADER_1X4_2.54MM_THD       -23.7100     13.6900      270      "Header, 4-Pin"                                                                             
U103       "Relay DPDT"          TopLayer RELAYS_DPST_THD_6x10_5.08mm 44.0000      -10.0000     180      "Relay DPDT"                                                                                
R136       47k                   TopLayer 0603_[1608]                 44.2500      -0.2502      270      Resistor                                                                                    
R135       1k                    TopLayer 0603_[1608]                 44.2500      -3.2498      90       Resistor                                                                                    
R134       10k                   TopLayer 0603_[1608]                 -2.5000      12.4798      270      Resistor                                                                                    
R133       33R                   TopLayer 0603_[1608]                 -30.7502     12.5000      180      Resistor                                                                                    
R132       33R                   TopLayer 0603_[1608]                 -30.7502     15.0000      180      Resistor                                                                                    
R107       1k                    TopLayer 0603_[1608]                 -4.0000      12.4798      270      Resistor                                                                                    
Q101       BC817                 TopLayer SOT-23                      46.7500      -1.7500      0        "Transistor BJT NPN"                                                                        
P106       Audio                 TopLayer HEADER_1X4_2.54MM_THD       -26.2500     13.6900      270      "Header, 4-Pin"                                                                             
