Altium Designer Pick and Place Locations
C:\Users\asterix\Documents\github\nixi-clock\hardware\Assembly\nixie_clock_hv\easyeda-pick-and-place-nixie_clock_hv_R1.csv

========================================================================================================================
File Design Information:

Date:       16/05/26
Time:       23:46
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"R5","-1.2038mm","10.7834mm","TopLayer","0"
"C3","-0.0548mm","15.3655mm","TopLayer","0"
"R29","30.5000mm","13.5000mm","BottomLayer","135"
"R27","-40.7079mm","13.5079mm","BottomLayer","135"
"U22","47.8668mm","2.6750mm","BottomLayer","150"
"U18","13.3668mm","2.6750mm","BottomLayer","150"
"U10","-57.1332mm","2.6750mm","BottomLayer","150"
"U14","-22.6332mm","2.6750mm","BottomLayer","150"
"C23","47.8666mm","2.6751mm","TopLayer","150"
"C19","13.3666mm","2.6751mm","TopLayer","150"
"C11","-57.1334mm","2.6751mm","TopLayer","150"
"C15","-22.6334mm","2.6751mm","TopLayer","150"
"J3_ xx:xM_xx:xM","52.4839mm","0.0634mm","BottomLayer","180"
"J3_ xx:xM_xx:Mx","18.0000mm","0.0494mm","BottomLayer","180"
"J3_ xx:xM_xH:xx","-18.0000mm","0.0494mm","BottomLayer","180"
"J3_ xx:xM_Hx:xx","-52.5000mm","0.0494mm","BottomLayer","180"
"R31","7.2498mm","-36.0000mm","TopLayer","180"
"P3","52.5000mm","-38.7500mm","TopLayer","180"
"P1","-52.5000mm","-38.7500mm","TopLayer","180"
"C5","-29.3502mm","-37.2500mm","TopLayer","180"
"Q1","-62.7500mm","-33.0000mm","TopLayer","180"
"U3","0.0002mm","13.0000mm","BottomLayer","180"
"R26","9.9998mm","-36.0000mm","TopLayer","180"
"R13","-40.7502mm","-39.9012mm","TopLayer","180"
"R4","0.7498mm","-8.3384mm","TopLayer","180"
"Q2","-62.7500mm","-36.5000mm","TopLayer","180"
"P2","0.0000mm","-38.7500mm","TopLayer","180"
"C6","44.2498mm","-37.5000mm","TopLayer","180"
"U6","36.7500mm","-34.5000mm","TopLayer","270"
"U21","52.5000mm","-5.2929mm","BottomLayer","270"
"U17","18.0000mm","-5.2929mm","BottomLayer","270"
"U9","-52.5000mm","-5.2929mm","BottomLayer","270"
"U13","-18.0000mm","-5.2929mm","BottomLayer","270"
"U5","-37.0000mm","-34.5000mm","TopLayer","270"
"U2","0.0000mm","-12.9999mm","BottomLayer","270"
"R25","19.7500mm","-33.0002mm","TopLayer","270"
"R24","27.5000mm","-33.0002mm","TopLayer","270"
"R23","24.7500mm","-33.0002mm","TopLayer","270"
"R22","17.2500mm","-33.0002mm","TopLayer","270"
"R21","51.2500mm","-33.0002mm","TopLayer","270"
"R20","58.7500mm","-33.0002mm","TopLayer","270"
"R19","56.2500mm","-33.0002mm","TopLayer","270"
"R18","48.7500mm","-33.0002mm","TopLayer","270"
"R8","-65.2500mm","-36.2502mm","TopLayer","270"
"R17","-53.7500mm","-33.0002mm","TopLayer","270"
"R16","-46.2500mm","-33.0002mm","TopLayer","270"
"R15","-48.7500mm","-33.0002mm","TopLayer","270"
"R14","-56.2500mm","-33.0002mm","TopLayer","270"
"R12","-22.2500mm","-33.0002mm","TopLayer","270"
"R11","-14.7500mm","-33.0002mm","TopLayer","270"
"R10","-17.2500mm","-33.0002mm","TopLayer","270"
"R9","-24.7500mm","-33.0002mm","TopLayer","270"
"R6","-65.2500mm","-30.5002mm","TopLayer","270"
"R3","-34.0000mm","-17.4928mm","TopLayer","270"
"C24","52.5000mm","-5.2931mm","TopLayer","270"
"C20","18.0000mm","-5.2931mm","TopLayer","270"
"C12","-52.5000mm","-5.2931mm","TopLayer","270"
"C16","-18.0000mm","-5.2931mm","TopLayer","270"
"C4","37.7500mm","-13.0150mm","TopLayer","270"
"C2","3.0000mm","-16.4130mm","TopLayer","270"
"C1","-32.8900mm","-12.9928mm","TopLayer","270"
"U23","57.1653mm","2.6071mm","BottomLayer","30"
"U19","22.6653mm","2.6071mm","BottomLayer","30"
"U11","-47.8348mm","2.6071mm","BottomLayer","30"
"U15","-13.3348mm","2.6071mm","BottomLayer","30"
"C22","57.1654mm","2.6072mm","TopLayer","30"
"C18","22.6654mm","2.6072mm","TopLayer","30"
"C10","-47.8346mm","2.6072mm","TopLayer","30"
"C14","-13.3346mm","2.6072mm","TopLayer","30"
"R30","41.0549mm","13.5000mm","BottomLayer","45"
"R28","-30.0000mm","13.5000mm","BottomLayer","45"
"R2","-65.2500mm","-33.2498mm","TopLayer","90"
"R1","-60.2500mm","-32.9998mm","TopLayer","90"
"U7","0.0200mm","-26.7662mm","BottomLayer","90"
"U20","52.5000mm","-25.5000mm","TopLayer","90"
"U16","21.0000mm","-25.5000mm","TopLayer","90"
"U8","-52.5000mm","-25.5000mm","TopLayer","90"
"U12","-21.0000mm","-25.4116mm","TopLayer","90"
"U4","35.2500mm","-13.0002mm","BottomLayer","90"
"U1","-35.2500mm","-13.0002mm","BottomLayer","90"
"R7","-60.2500mm","-36.4998mm","TopLayer","90"
"C8","12.0461mm","-33.8365mm","TopLayer","90"
"C7","13.2961mm","-33.8365mm","TopLayer","90"
"C21","53.7500mm","-32.9998mm","TopLayer","90"
"C17","22.2500mm","-32.9998mm","TopLayer","90"
"C9","-51.2500mm","-32.9998mm","TopLayer","90"
"C13","-19.7500mm","-32.9114mm","TopLayer","90"
